"Rank","Title","English Title","URL","Image URL","Score","Users Rated","Episodes","Genres","Studios","Synopsis","Popularity","Ranked"
"12576","Kaumori","The Bat","https://myanimelist.net/anime/5631/Kaumori","https://cdn.myanimelist.net/r/50x70/images/anime/5/11634.jpg?s=2188c79288bb01d2f3280753555b6afa","5.35","892","1","Drama, Samurai","add some","Once upon a time, the birds and the beasts fought each other in a war. It was a terrible conflict, and the clever bats would side with the birds when the birds were looking victorious, and then they would become allies of the beasts when that side was winning battles. At last the war came to an end, the two parties reached an amicable settlement, and a great party of friendship was held. But when it came to the turn of the bats to perform in the program, their fence-straddling tactics were exposed, and everyone refused to associate with them. Since that time, the bats have been too ashamed to show their faces during the day, coming out only at night to flit silently around.","#12436","#12576"
"12577","Kekkaku Yobou","Preventing Tuberculosis","https://myanimelist.net/anime/35387/Kekkaku_Yobou","https://cdn.myanimelist.net/r/50x70/images/anime/9/85237.jpg?s=d6baab3153d6f408bcda09b111905998","5.35","275","1","Drama, Educational, Historical","add some","A tuberculosis history, awareness, and prevention informative anime.","#16404","#12577"
"12578","Kentoushi","","https://myanimelist.net/anime/19515/Kentoushi","https://cdn.myanimelist.net/r/50x70/images/anime/1803/110236.jpg?s=92589f014813dc3830f3188c0601077a","5.35","181","3","Sports, Combat Sports, Seinen","add some","Anime adaptation of the same name sports manga by Kurashina Ryou.","#14314","#12578"
"12579","Mameshiba the DVD Green Pea-shiba no Kutsujoku","","https://myanimelist.net/anime/33705/Mameshiba_the_DVD_Green_Pea-shiba_no_Kutsujoku","https://cdn.myanimelist.net/r/50x70/images/anime/2/81053.jpg?s=5d34c33ac7a5220860bd607c7d14312f","5.35","149","4","Comedy","add some","A DVD release of Mameshiba which contained 4 new episodes featuring stop-motion animation, two of which show Green Pea being humiliated and is what the full title of the DVD is named after. The other two episodes show Red Bean catching a cold and Cashew rolling around before being stepped on.","#16143","#12579"
"12580","Ninja Bugei-chou Pilot Film","","https://myanimelist.net/anime/40302/Ninja_Bugei-chou_Pilot_Film","https://cdn.myanimelist.net/r/50x70/images/anime/1629/102770.jpg?s=a279abfc7c0895dc19b443f92dc5ffc3","5.35","181","1","Action, Historical, Samurai, Seinen","add some","An animated pilot film for Ninja Bugei-chou released to the public over three decades later on Ninpuu Kamui Gaiden DVD volume 7.   The pilot film was created in 1969 as director Nagisa Ooshima was wanting to make a TV animation to build off his controversial film from 1967. The pilot was rejected by Shirato himself (the original comic creator the film was based on) and the plan was changed to animate Ninpuu Kamui Gaiden instead, a side story to the Kamui Den manga also created by Shirato. Though with this change, Ooshima did not partake in Ninpuu Kamui Gaiden's production.","#16878","#12580"
"12581","Qiang Niang","Gun Girls","https://myanimelist.net/anime/36164/Qiang_Niang","https://cdn.myanimelist.net/r/50x70/images/anime/4/87374.jpg?s=d523a92ecd664b7a59fd8c393370ceb5","5.35","210","12","Action, Comedy, Sci-Fi, Slice of Life, Military, Space","Hoods Entertainment","Qiang Niang mainly tells of the protagonist Carrie, who has lost her combat memories, searching for herself and the story of her final ""Awakening"". In the years between 2025 to 2030, a world war involving the entire world has resulted in the demise of half the world's population, and humanity has already lost control of the direction the war shall go in. In order to seize ultimate victory, war has gradually been turned into a battle without people, similar to a game. War has already become about Satellite lasers, Bomb drones, Intelligent AI, a battlefield between unmanned gun turrets and tanks... Then, there are also a group of young maidens who uses outdated firearms to engage in battle —— the Gun Girls.","#13249","#12581"
"12582","SOS TV Walpurgis Night Fever","","https://myanimelist.net/anime/8706/SOS_TV_Walpurgis_Night_Fever","https://cdn.myanimelist.net/r/50x70/images/anime/8/24004.jpg?s=71f40ac91a7ee9d398387b5f15adb1c6","5.35","392","11","Comedy, Sci-Fi","add some","Stuck on the desolate planet Walpurgis, two intrepid girls named Garnet and Crystal, along with their robotic bat Carrot, can only dispatch emergency broadcasts into space and hope that someone will eventually come to their rescue.   In an attempt to increase the distress signal's viewership ratings, Garnet and Crystal reformat the ordinary broadcast into a variety TV show to appeal to the masses. Having turned the entire planet into their stage, the two girls do what they can to get noticed, located, and rescued.   [Written by MAL Rewrite]","#13119","#12582"
"12583","Space Neko Theater","","https://myanimelist.net/anime/11729/Space_Neko_Theater","https://cdn.myanimelist.net/r/50x70/images/anime/8/32735.jpg?s=3063da68c224c83719e15a67f81d9a2b","5.35","611","1","Comedy","add some","Cat lovers by cat-lover, love for cats, which are animated omnibus CM and assortment of fictional programs.","#13848","#12583"
"12584","The Third Eye","","https://myanimelist.net/anime/42278/The_Third_Eye","https://cdn.myanimelist.net/r/50x70/images/anime/1866/108145.jpg?s=36068588d14aa003c2490d63fe6bf208","5.35","138","1","Avant Garde","add some","Beginning with a wrinkle of irregular colors, a psychedelic animation with a finger motif develops. The precision of the drawing of this work deserves special mention.","#19703","#12584"
"12585","Wake Up, Girl Zoo! Taiwan de Go!","","https://myanimelist.net/anime/34864/Wake_Up_Girl_Zoo_Taiwan_de_Go","https://cdn.myanimelist.net/r/50x70/images/anime/13/86443.jpg?s=8283a18636d76e520547395d89d20263","5.35","384","1","Comedy","Karasfilms","No synopsis information has been added to this title. Help improve our database by adding a synopsis here.","#13978","#12585"
"12586","Worku","","https://myanimelist.net/anime/7511/Worku","https://cdn.myanimelist.net/r/50x70/images/anime/12/18022.jpg?s=c31ca0f117fd4cd16d80e19557103f24","5.35","234","2","Fantasy, Psychological","add some","A dark stop motion anime about a lone traveler in a desert who finds a solitary box. When he opens it, he finds a rundown and rather spooky city made up of large tower block apartments. Suddenly, a mysterious ghostly stick entity appears and seems to follow our hero. What is the purpose of this strange figure?","#15559","#12586"
"12587","Ya-Ne-Sen a Go Go","","https://myanimelist.net/anime/38702/Ya-Ne-Sen_a_Go_Go","https://cdn.myanimelist.net/r/50x70/images/anime/1397/96395.jpg?s=6640a1a497a0facaac08b435adbf8fc4","5.35","376","1","Music","add some","A short film by ShiShi Yamazaki which depicting herself dancing through the Yanaka, Nezu, and Sendagi areas of Taitou, Tokyo.","#15404","#12587"
"12588","Alice or Alice","","https://myanimelist.net/anime/36001/Alice_or_Alice","https://cdn.myanimelist.net/r/50x70/images/anime/1033/116744.jpg?s=f76ef24f185eb7b056c5dcd170becab0","5.35","15275","12","Slice of Life","EMT Squared","This story gives a look at the daily life of a pair of Alice twins and their older brother who has a sister complex. Them eating meals, getting into fights, playing with friends... Would you like to peek at the heart-full daily life of the cute Alices?   (Source: MAL News)","#3849","#12588"
"12589","Big Order (TV)","","https://myanimelist.net/anime/31904/Big_Order_TV","https://cdn.myanimelist.net/r/50x70/images/anime/11/79757.jpg?s=c9e3d16b28838c3b4fcd0b22bb5c9b22","5.35","112178","10","Action, Super Power, Shounen","asread.","Ten years ago, a fairy by the name of Daisy appeared and asked the child Eiji Hoshimiya what his one and only wish was. Although his wish remains a mystery, the consequences were catastrophic. In an event called the ""Great Destruction,"" the world started to fall apart as everything collapsed and countless people died.   Now, Eiji is a high school student whose only concern is his sick sister. He does not remember what he wished for; all that he remembers is that his wish caused the Great Destruction. In the years since that event, thousands of other people have also received abilities to make their heart's desire come true. These people called ""Orders"" are believed to be evil and are hated by the general public. However, some of these Orders are after Eiji's life in vengeance for those that he killed. Will Eiji be able to survive the numerous assassination attempts? And the biggest mystery of all: what did he wish for, and what were his intentions in wishing for something that caused so much desolation?   [Written by MAL Rewrite]","#1091","#12589"
"12590","Dies Irae: Reimei","Dies irae: The Dawning Days","https://myanimelist.net/anime/36524/Dies_Irae__Reimei","https://cdn.myanimelist.net/r/50x70/images/anime/9/88229.jpg?s=ff0317111d3bec5181fe99e31fc0dd90","5.35","13733","1","Action, Super Power","A.C.G.T.","Episode 0 of Dies Irae.","#4595","#12590"
"12591","Doamaiger D","Doamayger-D","https://myanimelist.net/anime/27785/Doamaiger_D","https://cdn.myanimelist.net/r/50x70/images/anime/4/70995.jpg?s=b6da7cd1e0f4724ffe46f524c24b59e1","5.35","889","13","Action, Comedy, Gourmet, Mecha, Parody","ILCA","Kyougoku Daijirou is the 15th generation owner of the Kyoto sweets shop Amashoudou. One day, Daijirou discovers a giant robot named Doamaiger D in his store's basement. At the same time, enemies called ""Mekaijuu"" appear in Kyoto and begin wreaking havoc.   (Source: ANN)","#11557","#12591"
"12592","Fusuma no Oku","","https://myanimelist.net/anime/42354/Fusuma_no_Oku","https://cdn.myanimelist.net/r/50x70/images/anime/1524/141866.jpg?s=65e8abb39a12cd0f29fbb5ed4ba4a508","5.35","246","1","Avant Garde","add some","The theme came from the Japanese unique folklore, Red Uncleanness or defilement with blood. A girl, whose thinking pattern jumps at a leap without any train of thought, confines her various thoughts in the other side of the mirror and inside the sliding doors to go outside.   (Source: Geidai Animation)","#17151","#12592"
"12593","I Love Picnic","","https://myanimelist.net/anime/25973/I_Love_Picnic","https://cdn.myanimelist.net/r/50x70/images/anime/11/65737.jpg?s=4beba905e951253ba950f23db8b5e452","5.35","310","1","Comedy, Kids","RG Animation Studios","The original short that kicked off the Backkom franchise.","#16096","#12593"
"12594","Idol Fantasy","","https://myanimelist.net/anime/38471/Idol_Fantasy","https://cdn.myanimelist.net/r/50x70/images/anime/1026/95307.jpg?s=c8368cbcfacbec49679bf9b591209ec5","5.35","241","1","Idols (Male), Music, Strategy Game","add some","An animated promotional video for Square Enix's mobile game Idol Fantasy. Within the game you the female manager Aoi Nishizono, and your job is to raise male idols to stardom in a heart-throbbing setting.","#16214","#12594"
"12595","100% Pascal-sensei","","https://myanimelist.net/anime/35447/100_Pascal-sensei","https://cdn.myanimelist.net/r/50x70/images/anime/11/85447.jpg?s=b19bee606c148d50be35b1e364944c35","5.34","276","6","Comedy, Kids","add some","The story centers around a mole elementary school teacher called Pascal who is so dumb that he cannot even write his own name correctly. Pascal is whimsical and he does whatever he wants in his classroom.   (Source: Wikipedia)","#15145","#12595"
"12596","Afureko! AR","","https://myanimelist.net/anime/35708/Afureko_AR","https://cdn.myanimelist.net/r/50x70/images/anime/5/86133.jpg?s=56f29161801972b27f7f631fcd277237","5.34","155","3","School, Showbiz","add some","Saori was thrown into a voice actor vocational school to escape from being a NEET. There she meets Miki, a former nurse, and Ayano, who aims to become an idol voice actor. School life begins with three beautiful girls aiming to become voice actors!   (Source: Official Site)","#17859","#12596"
"12597","Bollogi Iyagi","Bologee Story","https://myanimelist.net/anime/7504/Bollogi_Iyagi","https://cdn.myanimelist.net/r/50x70/images/anime/2/18010.jpg?s=69ab5fbf7e6ca33e6372b9ed0586daa5","5.34","388","1","Avant Garde, Drama, Romance","add some","An award winning surreal stop motion anime from Korea using noodles, about a little Bologee (a so-called convex boy) who was born on the Concave Planet. He desperately wants to get to a another planet called Convex Star.   When he finally manages to get there he falls in love with a girl from the Convex Planet. The people living there do not approve......","#15400","#12597"
"12598","Chao You Bing","","https://myanimelist.net/anime/33883/Chao_You_Bing","https://cdn.myanimelist.net/r/50x70/images/anime/1034/90492.jpg?s=abcf2e8396d60f10eb9b9f370c492b92","5.34","1079","4","Comedy, Fantasy, Parody","add some","A collection of animation that highlights the Sickness (increasing stupidity) that is plaguing this generation: Chao You Bing","#8516","#12598"
"12599","Glass no Kamen desu ga","","https://myanimelist.net/anime/17707/Glass_no_Kamen_desu_ga","https://cdn.myanimelist.net/r/50x70/images/anime/11/47215.jpg?s=4369d0cd33ddd6bfcf0e37651e3e4816","5.34","367","3","Comedy, Parody, Shoujo","DLE","The anime re-imagines the story with the characters Maya Kitajima and her rival Ayumi Himekawa being delinquent girls who both aspire to be the leader of the ""Crimson Goddess"" gang.","#12497","#12599"
"12600","Kakko Kawaii Sengen! Specials","","https://myanimelist.net/anime/30704/Kakko_Kawaii_Sengen_Specials","https://cdn.myanimelist.net/r/50x70/images/anime/4/73741.jpg?s=046dee197c2204bc14692ea305ebfdea","5.34","125","14","Comedy","add some","Specials included in Kakko Kawaii Sengen! DVDs.","#16989","#12600"
